Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,Day,Day_Sort,Month,Month_sort,Age_Group,Quantity_Category,Weekday_flag
1,24-11-2023,CUST001,Male,34,Beauty,3,50,150,Friday,5,November,11,25–34,Few Items,Weekday
2,27-02-2023,CUST002,Female,26,Clothing,2,500,1000,Monday,1,February,2,25–34,Few Items,Weekday
3,13-01-2023,CUST003,Male,50,Electronics,1,30,30,Friday,5,January,1,45–54,Single Item,Weekday
4,21-05-2023,CUST004,Male,37,Clothing,1,500,500,Sunday,7,May,5,35–44,Single Item,Weekend
5,06-05-2023,CUST005,Male,30,Beauty,2,50,100,Saturday,6,May,5,25–34,Few Items,Weekend
6,25-04-2023,CUST006,Female,45,Beauty,1,30,30,Tuesday,2,April,4,45–54,Single Item,Weekday
7,13-03-2023,CUST007,Male,46,Clothing,2,25,50,Monday,1,March,3,45–54,Few Items,Weekday
8,22-02-2023,CUST008,Male,30,Electronics,4,25,100,Wednesday,3,February,2,25–34,Bulk Purchase,Weekday
9,13-12-2023,CUST009,Male,63,Electronics,2,300,600,Wednesday,3,December,12,55–64,Few Items,Weekday
10,07-10-2023,CUST010,Female,52,Clothing,4,50,200,Saturday,6,October,10,45–54,Bulk Purchase,Weekend
11,14-02-2023,CUST011,Male,23,Clothing,2,50,100,Tuesday,2,February,2,18–24,Few Items,Weekday
12,30-10-2023,CUST012,Male,35,Beauty,3,25,75,Monday,1,October,10,35–44,Few Items,Weekday
13,05-08-2023,CUST013,Male,22,Electronics,3,500,1500,Saturday,6,August,8,18–24,Few Items,Weekend
14,17-01-2023,CUST014,Male,64,Clothing,4,30,120,Tuesday,2,January,1,55–64,Bulk Purchase,Weekday
15,16-01-2023,CUST015,Female,42,Electronics,4,500,2000,Monday,1,January,1,35–44,Bulk Purchase,Weekday
16,17-02-2023,CUST016,Male,19,Clothing,3,500,1500,Friday,5,February,2,18–24,Few Items,Weekday
17,22-04-2023,CUST017,Female,27,Clothing,4,25,100,Saturday,6,April,4,25–34,Bulk Purchase,Weekend
18,30-04-2023,CUST018,Female,47,Electronics,2,25,50,Sunday,7,April,4,45–54,Few Items,Weekend
19,16-09-2023,CUST019,Female,62,Clothing,2,25,50,Saturday,6,September,9,55–64,Few Items,Weekend
20,05-11-2023,CUST020,Male,22,Clothing,3,300,900,Sunday,7,November,11,18–24,Few Items,Weekend
21,14-01-2023,CUST021,Female,50,Beauty,1,500,500,Saturday,6,January,1,45–54,Single Item,Weekend
22,15-10-2023,CUST022,Male,18,Clothing,2,50,100,Sunday,7,October,10,18–24,Few Items,Weekend
23,12-04-2023,CUST023,Female,35,Clothing,4,30,120,Wednesday,3,April,4,35–44,Bulk Purchase,Weekday
24,29-11-2023,CUST024,Female,49,Clothing,1,300,300,Wednesday,3,November,11,45–54,Single Item,Weekday
25,26-12-2023,CUST025,Female,64,Beauty,1,50,50,Tuesday,2,December,12,55–64,Single Item,Weekday
26,07-10-2023,CUST026,Female,28,Electronics,2,500,1000,Saturday,6,October,10,25–34,Few Items,Weekend
27,03-08-2023,CUST027,Female,38,Beauty,2,25,50,Thursday,4,August,8,35–44,Few Items,Weekday
28,23-04-2023,CUST028,Female,43,Beauty,1,500,500,Sunday,7,April,4,35–44,Single Item,Weekend
29,18-08-2023,CUST029,Female,42,Electronics,1,30,30,Friday,5,August,8,35–44,Single Item,Weekday
30,29-10-2023,CUST030,Female,39,Beauty,3,300,900,Sunday,7,October,10,35–44,Few Items,Weekend
31,23-05-2023,CUST031,Male,44,Electronics,4,300,1200,Tuesday,2,May,5,35–44,Bulk Purchase,Weekday
32,04-01-2023,CUST032,Male,30,Beauty,3,30,90,Wednesday,3,January,1,25–34,Few Items,Weekday
33,23-03-2023,CUST033,Female,50,Electronics,2,50,100,Thursday,4,March,3,45–54,Few Items,Weekday
34,24-12-2023,CUST034,Female,51,Clothing,3,50,150,Sunday,7,December,12,45–54,Few Items,Weekend
35,05-08-2023,CUST035,Female,58,Beauty,3,300,900,Saturday,6,August,8,55–64,Few Items,Weekend
36,24-06-2023,CUST036,Male,52,Beauty,3,300,900,Saturday,6,June,6,45–54,Few Items,Weekend
37,23-05-2023,CUST037,Female,18,Beauty,3,25,75,Tuesday,2,May,5,18–24,Few Items,Weekday
38,21-03-2023,CUST038,Male,38,Beauty,4,50,200,Tuesday,2,March,3,35–44,Bulk Purchase,Weekday
39,21-04-2023,CUST039,Male,23,Clothing,4,30,120,Friday,5,April,4,18–24,Bulk Purchase,Weekday
40,22-06-2023,CUST040,Male,45,Beauty,1,50,50,Thursday,4,June,6,45–54,Single Item,Weekday
41,22-02-2023,CUST041,Male,34,Clothing,2,25,50,Wednesday,3,February,2,25–34,Few Items,Weekday
42,17-02-2023,CUST042,Male,22,Clothing,3,300,900,Friday,5,February,2,18–24,Few Items,Weekday
43,14-07-2023,CUST043,Female,48,Clothing,1,300,300,Friday,5,July,7,45–54,Single Item,Weekday
44,19-02-2023,CUST044,Female,22,Clothing,1,25,25,Sunday,7,February,2,18–24,Single Item,Weekend
45,03-07-2023,CUST045,Female,55,Electronics,1,30,30,Monday,1,July,7,55–64,Single Item,Weekday
46,26-06-2023,CUST046,Female,20,Electronics,4,300,1200,Monday,1,June,6,18–24,Bulk Purchase,Weekday
47,06-11-2023,CUST047,Female,40,Beauty,3,500,1500,Monday,1,November,11,35–44,Few Items,Weekday
48,16-05-2023,CUST048,Male,54,Electronics,3,300,900,Tuesday,2,May,5,45–54,Few Items,Weekday
49,23-01-2023,CUST049,Female,54,Electronics,2,500,1000,Monday,1,January,1,45–54,Few Items,Weekday
50,24-08-2023,CUST050,Female,27,Beauty,3,25,75,Thursday,4,August,8,25–34,Few Items,Weekday
51,02-10-2023,CUST051,Male,27,Beauty,3,25,75,Monday,1,October,10,25–34,Few Items,Weekday
52,05-03-2023,CUST052,Female,36,Beauty,1,300,300,Sunday,7,March,3,35–44,Single Item,Weekend
53,13-07-2023,CUST053,Male,34,Electronics,2,50,100,Thursday,4,July,7,25–34,Few Items,Weekday
54,10-02-2023,CUST054,Female,38,Electronics,3,500,1500,Friday,5,February,2,35–44,Few Items,Weekday
55,10-10-2023,CUST055,Male,31,Beauty,4,30,120,Tuesday,2,October,10,25–34,Bulk Purchase,Weekday
56,31-05-2023,CUST056,Female,26,Clothing,3,300,900,Wednesday,3,May,5,25–34,Few Items,Weekday
57,18-11-2023,CUST057,Female,63,Beauty,1,30,30,Saturday,6,November,11,55–64,Single Item,Weekend
58,13-11-2023,CUST058,Male,18,Clothing,4,300,1200,Monday,1,November,11,18–24,Bulk Purchase,Weekday
59,05-07-2023,CUST059,Male,62,Clothing,1,50,50,Wednesday,3,July,7,55–64,Single Item,Weekday
60,23-10-2023,CUST060,Male,30,Beauty,3,50,150,Monday,1,October,10,25–34,Few Items,Weekday
61,09-04-2023,CUST061,Male,21,Beauty,4,50,200,Sunday,7,April,4,18–24,Bulk Purchase,Weekend
62,27-12-2023,CUST062,Male,18,Beauty,2,50,100,Wednesday,3,December,12,18–24,Few Items,Weekday
63,05-02-2023,CUST063,Male,57,Electronics,2,25,50,Sunday,7,February,2,55–64,Few Items,Weekend
64,24-01-2023,CUST064,Male,49,Clothing,4,25,100,Tuesday,2,January,1,45–54,Bulk Purchase,Weekday
65,05-12-2023,CUST065,Male,51,Electronics,4,500,2000,Tuesday,2,December,12,45–54,Bulk Purchase,Weekday
66,27-04-2023,CUST066,Female,45,Electronics,1,30,30,Thursday,4,April,4,45–54,Single Item,Weekday
67,29-05-2023,CUST067,Female,48,Beauty,4,300,1200,Monday,1,May,5,45–54,Bulk Purchase,Weekday
68,10-02-2023,CUST068,Male,25,Electronics,1,300,300,Friday,5,February,2,25–34,Single Item,Weekday
69,30-04-2023,CUST069,Female,56,Beauty,3,25,75,Sunday,7,April,4,55–64,Few Items,Weekend
70,21-02-2023,CUST070,Female,43,Clothing,1,300,300,Tuesday,2,February,2,35–44,Single Item,Weekday
71,14-07-2023,CUST071,Female,51,Beauty,4,25,100,Friday,5,July,7,45–54,Bulk Purchase,Weekday
72,23-05-2023,CUST072,Female,20,Electronics,4,500,2000,Tuesday,2,May,5,18–24,Bulk Purchase,Weekday
73,21-08-2023,CUST073,Male,29,Electronics,3,30,90,Monday,1,August,8,25–34,Few Items,Weekday
74,22-11-2023,CUST074,Female,18,Beauty,4,500,2000,Wednesday,3,November,11,18–24,Bulk Purchase,Weekday
75,06-07-2023,CUST075,Male,61,Beauty,4,50,200,Thursday,4,July,7,55–64,Bulk Purchase,Weekday
76,25-03-2023,CUST076,Female,22,Electronics,2,50,100,Saturday,6,March,3,18–24,Few Items,Weekend
77,09-07-2023,CUST077,Female,47,Clothing,2,50,100,Sunday,7,July,7,45–54,Few Items,Weekend
78,01-07-2023,CUST078,Female,47,Clothing,3,500,1500,Saturday,6,July,7,45–54,Few Items,Weekend
79,18-04-2023,CUST079,Male,34,Beauty,1,300,300,Tuesday,2,April,4,25–34,Single Item,Weekday
80,10-12-2023,CUST080,Female,64,Clothing,2,30,60,Sunday,7,December,12,55–64,Few Items,Weekend
81,17-05-2023,CUST081,Male,40,Electronics,1,50,50,Wednesday,3,May,5,35–44,Single Item,Weekday
82,26-12-2023,CUST082,Female,32,Beauty,4,50,200,Tuesday,2,December,12,25–34,Bulk Purchase,Weekday
83,16-12-2023,CUST083,Male,54,Electronics,2,50,100,Saturday,6,December,12,45–54,Few Items,Weekend
84,28-11-2023,CUST084,Female,38,Electronics,3,30,90,Tuesday,2,November,11,35–44,Few Items,Weekday
85,06-02-2023,CUST085,Male,31,Clothing,3,50,150,Monday,1,February,2,25–34,Few Items,Weekday
86,08-11-2023,CUST086,Male,19,Beauty,3,30,90,Wednesday,3,November,11,18–24,Few Items,Weekday
87,22-11-2023,CUST087,Female,28,Beauty,2,50,100,Wednesday,3,November,11,25–34,Few Items,Weekday
88,29-03-2023,CUST088,Male,56,Clothing,1,500,500,Wednesday,3,March,3,55–64,Single Item,Weekday
89,01-10-2023,CUST089,Female,55,Electronics,4,500,2000,Sunday,7,October,10,55–64,Bulk Purchase,Weekend
90,06-05-2023,CUST090,Female,51,Electronics,1,30,30,Saturday,6,May,5,45–54,Single Item,Weekend
91,25-03-2023,CUST091,Female,55,Electronics,1,500,500,Saturday,6,March,3,55–64,Single Item,Weekend
92,25-08-2023,CUST092,Female,51,Electronics,4,30,120,Friday,5,August,8,45–54,Bulk Purchase,Weekday
93,14-07-2023,CUST093,Female,35,Beauty,4,500,2000,Friday,5,July,7,35–44,Bulk Purchase,Weekday
94,19-05-2023,CUST094,Female,47,Beauty,2,500,1000,Friday,5,May,5,45–54,Few Items,Weekday
95,24-11-2023,CUST095,Female,32,Clothing,2,30,60,Friday,5,November,11,25–34,Few Items,Weekday
96,19-12-2023,CUST096,Female,44,Clothing,2,300,600,Tuesday,2,December,12,35–44,Few Items,Weekday
97,13-10-2023,CUST097,Female,51,Beauty,2,500,1000,Friday,5,October,10,45–54,Few Items,Weekday
98,23-04-2023,CUST098,Female,55,Beauty,2,50,100,Sunday,7,April,4,55–64,Few Items,Weekend
99,17-12-2023,CUST099,Female,50,Electronics,4,300,1200,Sunday,7,December,12,45–54,Bulk Purchase,Weekend
100,16-06-2023,CUST100,Male,41,Electronics,1,30,30,Friday,5,June,6,35–44,Single Item,Weekday
101,29-01-2023,CUST101,Male,32,Clothing,2,300,600,Sunday,7,January,1,25–34,Few Items,Weekend
102,28-04-2023,CUST102,Female,47,Beauty,2,25,50,Friday,5,April,4,45–54,Few Items,Weekday
103,17-01-2023,CUST103,Female,59,Clothing,1,25,25,Tuesday,2,January,1,55–64,Single Item,Weekday
104,11-06-2023,CUST104,Female,34,Beauty,2,500,1000,Sunday,7,June,6,25–34,Few Items,Weekend
105,25-07-2023,CUST105,Female,22,Electronics,1,500,500,Tuesday,2,July,7,18–24,Single Item,Weekday
106,18-05-2023,CUST106,Female,46,Clothing,1,50,50,Thursday,4,May,5,45–54,Single Item,Weekday
107,03-02-2023,CUST107,Female,21,Clothing,4,300,1200,Friday,5,February,2,18–24,Bulk Purchase,Weekday
108,19-04-2023,CUST108,Female,27,Beauty,3,25,75,Wednesday,3,April,4,25–34,Few Items,Weekday
109,18-10-2023,CUST109,Female,34,Electronics,4,500,2000,Wednesday,3,October,10,25–34,Bulk Purchase,Weekday
110,11-06-2023,CUST110,Male,27,Clothing,3,300,900,Sunday,7,June,6,25–34,Few Items,Weekend
111,19-04-2023,CUST111,Female,34,Electronics,3,500,1500,Wednesday,3,April,4,25–34,Few Items,Weekday
112,02-12-2023,CUST112,Male,37,Clothing,3,500,1500,Saturday,6,December,12,35–44,Few Items,Weekend
113,13-09-2023,CUST113,Female,41,Electronics,2,25,50,Wednesday,3,September,9,35–44,Few Items,Weekday
114,22-07-2023,CUST114,Female,22,Beauty,4,25,100,Saturday,6,July,7,18–24,Bulk Purchase,Weekend
115,26-11-2023,CUST115,Male,51,Clothing,3,500,1500,Sunday,7,November,11,45–54,Few Items,Weekend
116,23-08-2023,CUST116,Female,23,Clothing,1,30,30,Wednesday,3,August,8,18–24,Single Item,Weekday
117,15-03-2023,CUST117,Male,19,Electronics,2,500,1000,Wednesday,3,March,3,18–24,Few Items,Weekday
118,16-05-2023,CUST118,Female,30,Electronics,4,500,2000,Tuesday,2,May,5,25–34,Bulk Purchase,Weekday
119,13-03-2023,CUST119,Female,60,Clothing,3,50,150,Monday,1,March,3,55–64,Few Items,Weekday
120,07-05-2023,CUST120,Male,60,Beauty,1,50,50,Sunday,7,May,5,55–64,Single Item,Weekend
121,15-10-2023,CUST121,Female,28,Electronics,4,50,200,Sunday,7,October,10,25–34,Bulk Purchase,Weekend
122,03-10-2023,CUST122,Male,64,Electronics,4,30,120,Tuesday,2,October,10,55–64,Bulk Purchase,Weekday
123,15-05-2023,CUST123,Female,40,Electronics,2,30,60,Monday,1,May,5,35–44,Few Items,Weekday
124,27-10-2023,CUST124,Male,33,Clothing,4,500,2000,Friday,5,October,10,25–34,Bulk Purchase,Weekday
125,08-08-2023,CUST125,Male,48,Clothing,2,50,100,Tuesday,2,August,8,45–54,Few Items,Weekday
126,26-10-2023,CUST126,Female,28,Clothing,3,30,90,Thursday,4,October,10,25–34,Few Items,Weekday
127,24-07-2023,CUST127,Female,33,Clothing,2,25,50,Monday,1,July,7,25–34,Few Items,Weekday
128,05-07-2023,CUST128,Male,25,Beauty,1,500,500,Wednesday,3,July,7,25–34,Single Item,Weekday
129,23-04-2023,CUST129,Female,21,Beauty,2,300,600,Sunday,7,April,4,18–24,Few Items,Weekend
130,12-03-2023,CUST130,Female,57,Clothing,1,500,500,Sunday,7,March,3,55–64,Single Item,Weekend
131,18-09-2023,CUST131,Female,21,Beauty,2,300,600,Monday,1,September,9,18–24,Few Items,Weekday
132,10-09-2023,CUST132,Male,42,Electronics,4,50,200,Sunday,7,September,9,35–44,Bulk Purchase,Weekend
133,16-02-2023,CUST133,Male,20,Electronics,3,300,900,Thursday,4,February,2,18–24,Few Items,Weekday
134,25-01-2023,CUST134,Male,49,Electronics,1,50,50,Wednesday,3,January,1,45–54,Single Item,Weekday
135,26-02-2023,CUST135,Male,20,Clothing,2,25,50,Sunday,7,February,2,18–24,Few Items,Weekend
136,20-03-2023,CUST136,Male,44,Electronics,2,300,600,Monday,1,March,3,35–44,Few Items,Weekday
137,18-11-2023,CUST137,Male,46,Beauty,2,500,1000,Saturday,6,November,11,45–54,Few Items,Weekend
138,23-03-2023,CUST138,Male,49,Clothing,4,50,200,Thursday,4,March,3,45–54,Bulk Purchase,Weekday
139,15-12-2023,CUST139,Male,36,Beauty,4,500,2000,Friday,5,December,12,35–44,Bulk Purchase,Weekday
140,05-08-2023,CUST140,Male,38,Electronics,1,30,30,Saturday,6,August,8,35–44,Single Item,Weekend
141,02-11-2023,CUST141,Female,22,Electronics,1,50,50,Thursday,4,November,11,18–24,Single Item,Weekday
142,02-02-2023,CUST142,Male,35,Electronics,4,300,1200,Thursday,4,February,2,35–44,Bulk Purchase,Weekday
143,17-07-2023,CUST143,Female,45,Clothing,1,50,50,Monday,1,July,7,45–54,Single Item,Weekday
144,15-07-2023,CUST144,Female,59,Beauty,3,500,1500,Saturday,6,July,7,55–64,Few Items,Weekend
145,02-11-2023,CUST145,Female,39,Clothing,3,25,75,Thursday,4,November,11,35–44,Few Items,Weekday
146,28-08-2023,CUST146,Male,38,Clothing,4,50,200,Monday,1,August,8,35–44,Bulk Purchase,Weekday
147,28-09-2023,CUST147,Male,23,Electronics,1,300,300,Thursday,4,September,9,18–24,Single Item,Weekday
148,09-05-2023,CUST148,Male,18,Clothing,2,30,60,Tuesday,2,May,5,18–24,Few Items,Weekday
149,11-10-2023,CUST149,Male,22,Clothing,3,25,75,Wednesday,3,October,10,18–24,Few Items,Weekday
150,06-01-2023,CUST150,Female,58,Electronics,4,30,120,Friday,5,January,1,55–64,Bulk Purchase,Weekday
151,15-12-2023,CUST151,Male,29,Clothing,1,50,50,Friday,5,December,12,25–34,Single Item,Weekday
152,28-02-2023,CUST152,Male,43,Electronics,4,500,2000,Tuesday,2,February,2,35–44,Bulk Purchase,Weekday
153,16-12-2023,CUST153,Male,63,Electronics,2,500,1000,Saturday,6,December,12,55–64,Few Items,Weekend
154,02-10-2023,CUST154,Male,51,Electronics,3,300,900,Monday,1,October,10,45–54,Few Items,Weekday
155,17-05-2023,CUST155,Male,31,Electronics,4,500,2000,Wednesday,3,May,5,25–34,Bulk Purchase,Weekday
156,25-11-2023,CUST156,Female,43,Clothing,4,25,100,Saturday,6,November,11,35–44,Bulk Purchase,Weekend
157,24-06-2023,CUST157,Male,62,Electronics,4,500,2000,Saturday,6,June,6,55–64,Bulk Purchase,Weekend
158,27-02-2023,CUST158,Female,44,Electronics,2,300,600,Monday,1,February,2,35–44,Few Items,Weekday
159,31-05-2023,CUST159,Male,26,Clothing,4,50,200,Wednesday,3,May,5,25–34,Bulk Purchase,Weekday
160,11-08-2023,CUST160,Female,43,Clothing,2,50,100,Friday,5,August,8,35–44,Few Items,Weekday
161,22-03-2023,CUST161,Male,64,Beauty,2,500,1000,Wednesday,3,March,3,55–64,Few Items,Weekday
162,21-08-2023,CUST162,Male,39,Clothing,2,30,60,Monday,1,August,8,35–44,Few Items,Weekday
163,02-01-2023,CUST163,Female,64,Clothing,3,50,150,Monday,1,January,1,55–64,Few Items,Weekday
164,15-05-2023,CUST164,Female,47,Beauty,3,500,1500,Monday,1,May,5,45–54,Few Items,Weekday
165,14-09-2023,CUST165,Female,60,Clothing,4,300,1200,Thursday,4,September,9,55–64,Bulk Purchase,Weekday
166,02-04-2023,CUST166,Male,34,Clothing,4,500,2000,Sunday,7,April,4,25–34,Bulk Purchase,Weekend
167,17-09-2023,CUST167,Female,43,Clothing,3,50,150,Sunday,7,September,9,35–44,Few Items,Weekend
168,24-02-2023,CUST168,Male,53,Clothing,1,300,300,Friday,5,February,2,45–54,Single Item,Weekday
169,17-11-2023,CUST169,Male,18,Beauty,3,500,1500,Friday,5,November,11,18–24,Few Items,Weekday
170,02-06-2023,CUST170,Female,25,Clothing,2,25,50,Friday,5,June,6,25–34,Few Items,Weekday
171,24-11-2023,CUST171,Female,52,Clothing,3,300,900,Friday,5,November,11,45–54,Few Items,Weekday
172,17-09-2023,CUST172,Male,32,Beauty,2,25,50,Sunday,7,September,9,25–34,Few Items,Weekend
173,08-11-2023,CUST173,Male,64,Electronics,4,30,120,Wednesday,3,November,11,55–64,Bulk Purchase,Weekday
174,12-04-2023,CUST174,Female,39,Beauty,1,300,300,Wednesday,3,April,4,35–44,Single Item,Weekday
175,20-03-2023,CUST175,Female,31,Electronics,4,25,100,Monday,1,March,3,25–34,Bulk Purchase,Weekday
176,11-07-2023,CUST176,Female,43,Beauty,2,50,100,Tuesday,2,July,7,35–44,Few Items,Weekday
177,24-03-2023,CUST177,Male,45,Beauty,2,50,100,Friday,5,March,3,45–54,Few Items,Weekday
178,04-10-2023,CUST178,Male,40,Clothing,2,30,60,Wednesday,3,October,10,35–44,Few Items,Weekday
179,29-09-2023,CUST179,Male,31,Electronics,1,300,300,Friday,5,September,9,25–34,Single Item,Weekday
180,01-01-2023,CUST180,Male,41,Clothing,3,300,900,Sunday,7,January,1,35–44,Few Items,Weekend
181,03-11-2023,CUST181,Male,19,Electronics,4,300,1200,Friday,5,November,11,18–24,Bulk Purchase,Weekday
182,15-06-2023,CUST182,Male,62,Beauty,4,30,120,Thursday,4,June,6,55–64,Bulk Purchase,Weekday
183,08-09-2023,CUST183,Female,43,Beauty,3,300,900,Friday,5,September,9,35–44,Few Items,Weekday
184,10-01-2023,CUST184,Male,31,Electronics,4,50,200,Tuesday,2,January,1,25–34,Bulk Purchase,Weekday
185,27-02-2023,CUST185,Male,24,Clothing,1,25,25,Monday,1,February,2,18–24,Single Item,Weekday
186,05-07-2023,CUST186,Male,20,Clothing,4,50,200,Wednesday,3,July,7,18–24,Bulk Purchase,Weekday
187,07-06-2023,CUST187,Female,64,Clothing,2,50,100,Wednesday,3,June,6,55–64,Few Items,Weekday
188,03-05-2023,CUST188,Male,40,Clothing,3,25,75,Wednesday,3,May,5,35–44,Few Items,Weekday
189,30-01-2023,CUST189,Male,63,Beauty,1,50,50,Monday,1,January,1,55–64,Single Item,Weekday
190,04-05-2023,CUST190,Female,60,Beauty,3,30,90,Thursday,4,May,5,55–64,Few Items,Weekday
191,18-10-2023,CUST191,Male,64,Beauty,1,25,25,Wednesday,3,October,10,55–64,Single Item,Weekday
192,10-02-2023,CUST192,Male,62,Beauty,2,50,100,Friday,5,February,2,55–64,Few Items,Weekday
193,13-02-2023,CUST193,Male,35,Beauty,3,500,1500,Monday,1,February,2,35–44,Few Items,Weekday
194,06-09-2023,CUST194,Male,55,Clothing,4,50,200,Wednesday,3,September,9,55–64,Bulk Purchase,Weekday
195,05-02-2023,CUST195,Male,52,Clothing,1,30,30,Sunday,7,February,2,45–54,Single Item,Weekend
196,30-09-2023,CUST196,Female,32,Clothing,3,300,900,Saturday,6,September,9,25–34,Few Items,Weekend
197,06-03-2023,CUST197,Female,42,Clothing,4,50,200,Monday,1,March,3,35–44,Bulk Purchase,Weekday
198,07-03-2023,CUST198,Female,54,Beauty,3,300,900,Tuesday,2,March,3,45–54,Few Items,Weekday
199,04-12-2023,CUST199,Male,45,Beauty,3,500,1500,Monday,1,December,12,45–54,Few Items,Weekday
